,Rental_Price
3785,2300.0
2512,2100.0
481,2100.0
3345,2300.0
4510,1600.0
4441,1800.0
3251,2200.0
3836,1900.0
552,2000.0
679,1700.0
4520,1730.0
1773,1800.0
3903,2000.0
753,2300.0
4603,1800.0
3673,2300.0
2421,2330.0
4363,1500.0
2569,2200.0
120,2300.0
2000,2150.0
583,2100.0
2288,1800.0
1656,2400.0
2784,2200.0
1068,1800.0
4069,2000.0
529,2000.0
340,2600.0
942,2250.0
1992,2300.0
695,1900.0
4433,1630.0
2879,2630.0
2366,2500.0
738,2600.0
3268,2800.0
1801,2100.0
3192,2400.0
1897,2400.0
3795,2380.0
4132,1700.0
2330,2200.0
3969,2100.0
2498,2400.0
704,1800.0
3391,2800.0
4384,1230.0
1982,2200.0
2383,2000.0
3823,2200.0
4232,1500.0
282,2400.0
2267,2000.0
410,2900.0
4615,1800.0
1300,2100.0
3936,1900.0
3448,2500.0
3140,2600.0
2793,1900.0
207,2900.0
2585,2500.0
4202,1400.0
3722,2000.0
2986,2980.0
3772,2500.0
94,2600.0
1574,2150.0
884,2200.0
1180,1800.0
3378,2000.0
3987,1500.0
3447,2200.0
4422,2000.0
254,1780.0
2141,1800.0
4445,2000.0
1976,2500.0
3051,2500.0
1623,2600.0
928,1900.0
1893,2100.0
1494,1900.0
1495,2400.0
1010,2600.0
3856,1900.0
4489,1500.0
3751,2390.0
694,2850.0
251,2400.0
238,2500.0
624,2380.0
505,2600.0
2401,2150.0
2771,3000.0
4053,2300.0
2411,2000.0
3458,2500.0
4138,1850.0
4488,2130.0
3249,2400.0
319,2480.0
3229,2000.0
234,2350.0
3398,2200.0
2337,2400.0
1461,1900.0
3337,2500.0
1298,1900.0
3297,1900.0
1811,2480.0
1477,2300.0
3999,2500.0
836,2000.0
1019,1750.0
2426,2980.0
2694,2700.0
44,3350.0
4555,1400.0
2250,2300.0
4237,1700.0
4758,1800.0
683,1900.0
3747,2300.0
1695,1700.0
524,2200.0
1827,2180.0
2656,2100.0
178,2200.0
346,2250.0
2989,3050.0
1545,2200.0
166,2200.0
2198,1800.0
980,2000.0
4685,1800.0
2050,2000.0
19,2800.0
1169,2500.0
1366,1550.0
3573,2200.0
3911,2300.0
4367,1600.0
4349,1950.0
2613,3000.0
3000,2800.0
1033,2100.0
4207,2000.0
3838,1610.0
2160,2100.0
3250,2600.0
2343,2000.0
4048,1850.0
4668,900.0
138,2750.0
3112,2800.0
2268,2300.0
1724,1800.0
2856,2210.0
840,2400.0
2503,2000.0
2680,2500.0
3105,2980.0
361,2200.0
2594,1800.0
3727,2750.0
619,2000.0
3093,3300.0
995,1600.0
3901,1430.0
1426,1750.0
4074,2050.0
3629,1880.0
380,2200.0
4097,1800.0
1974,2000.0
4569,1450.0
3294,2150.0
1078,2500.0
4662,1980.0
4417,1550.0
1316,1750.0
2841,2400.0
482,2350.0
50,3100.0
579,2200.0
2931,2400.0
922,2050.0
374,2250.0
3724,2480.0
1216,1900.0
3732,2400.0
1646,1600.0
615,1850.0
2431,1750.0
3784,2050.0
1854,2250.0
3537,2800.0
3867,2450.0
2911,2540.0
1377,2200.0
690,2000.0
2883,2800.0
1167,1900.0
1823,1800.0
3200,2600.0
2107,1800.0
841,2500.0
4157,2000.0
3656,2200.0
715,1650.0
4135,1600.0
1336,1950.0
713,1900.0
3179,2150.0
3780,1800.0
3526,1700.0
1009,1880.0
3400,2400.0
4318,1450.0
4503,1900.0
354,2400.0
826,2450.0
1980,2700.0
860,2100.0
3556,2400.0
43,2400.0
3227,2250.0
4372,1650.0
507,2300.0
1053,2500.0
2081,2100.0
2867,2200.0
455,2200.0
1173,2050.0
216,2500.0
1654,2000.0
547,1900.0
2485,2200.0
660,2000.0
4695,1300.0
3859,1700.0
2534,1680.0
513,1800.0
1098,1800.0
116,2600.0
3156,2000.0
3683,2600.0
4529,1700.0
1814,2300.0
2826,2700.0
3693,2800.0
622,1850.0
2612,2200.0
4251,1780.0
1647,1900.0
3583,2400.0
3027,2100.0
1688,1750.0
28,2350.0
3114,2500.0
1686,2600.0
1296,2500.0
3208,2400.0
2163,2000.0
3134,2630.0
4712,1500.0
1213,2200.0
158,2400.0
293,2250.0
3077,2500.0
3245,2300.0
3713,1700.0
1314,2300.0
3233,2400.0
1229,1800.0
1908,2000.0
4389,1600.0
3563,2330.0
1469,1800.0
566,2300.0
2713,1900.0
2147,2450.0
51,2730.0
4515,2000.0
3870,2100.0
175,2200.0
2926,2800.0
3408,2400.0
674,2130.0
2106,2600.0
1763,2200.0
4357,1400.0
1050,2050.0
224,2850.0
590,1700.0
2754,2900.0
61,2500.0
4498,2000.0
1640,1800.0
3189,2500.0
2375,2300.0
1825,2500.0
1163,1600.0
110,2200.0
2361,2050.0
2519,2400.0
310,1900.0
4373,1700.0
3388,2230.0
4129,2330.0
4768,1850.0
1414,2400.0
4086,1900.0
2189,2300.0
819,1850.0
4291,1800.0
3684,1700.0
3794,2280.0
1444,1800.0
3570,2700.0
2863,2800.0
901,1800.0
2416,2400.0
746,2300.0
4088,1950.0
4517,1630.0
1457,1850.0
4461,1850.0
1713,1750.0
739,1800.0
2987,2150.0
3030,2000.0
1252,1850.0
855,1850.0
3730,1500.0
2808,2200.0
1838,1900.0
3877,2440.0
1235,2300.0
2425,2500.0
3371,1700.0
2085,2300.0
487,1700.0
3012,2300.0
815,2000.0
309,2500.0
3238,1900.0
734,1750.0
1929,1800.0
149,2600.0
4443,2300.0
3142,2500.0
3661,2300.0
4134,1350.0
3679,2500.0
3386,2800.0
3209,2600.0
3257,2500.0
2593,2400.0
874,2000.0
1866,2300.0
1372,2300.0
3082,2430.0
3053,2900.0
3174,2400.0
3166,2400.0
4322,1500.0
288,3010.0
4229,1800.0
3952,1800.0
1714,1850.0
2086,1800.0
880,2000.0
2605,2000.0
1158,2050.0
4588,1600.0
2892,2350.0
3616,2600.0
1926,2100.0
1063,1900.0
3109,1950.0
2374,2200.0
2789,3000.0
352,2200.0
4147,1600.0
1641,2400.0
3874,2300.0
1373,1700.0
3370,2900.0
612,1900.0
445,2300.0
3065,2500.0
4016,1900.0
1157,1900.0
630,1850.0
1794,1750.0
3339,2380.0
3239,2330.0
574,2800.0
2302,1800.0
3231,2750.0
3503,2400.0
2623,2450.0
286,2200.0
381,2400.0
4469,1700.0
349,2200.0
89,2400.0
1419,2100.0
2801,2000.0
4160,1700.0
1214,2500.0
3168,2200.0
2356,2700.0
4021,1400.0
866,2300.0
1187,2200.0
495,1900.0
3307,2500.0
1903,1950.0
4558,1600.0
2614,3200.0
809,1950.0
4358,1700.0
3546,2100.0
913,2300.0
3739,2000.0
1315,2500.0
2508,2550.0
1343,2500.0
4467,2200.0
1429,1800.0
2098,1900.0
4639,2200.0
3905,1500.0
1928,2400.0
1896,2200.0
2403,2200.0
1056,1700.0
2862,2500.0
303,2000.0
861,1750.0
503,2000.0
2646,2600.0
3037,3000.0
4580,1800.0
504,2500.0
3758,2000.0
3074,2500.0
369,2050.0
2666,2000.0
1809,2000.0
642,2100.0
1991,2200.0
1114,2600.0
1788,2300.0
1709,2000.0
3779,1500.0
4003,1900.0
4031,1900.0
614,2800.0
1224,1900.0
2574,2230.0
4223,1700.0
3699,2350.0
4026,2000.0
511,2200.0
2848,2650.0
971,2800.0
1027,1800.0
4565,1800.0
2726,2600.0
2548,2800.0
3754,2300.0
1210,2250.0
1104,2000.0
4313,1700.0
388,2100.0
4477,1500.0
4253,1500.0
965,1600.0
1249,1850.0
4276,1530.0
1151,2400.0
194,2700.0
2351,2050.0
2400,2900.0
